     Index                                              Tweet                                              Match                            Polarity
       106                                      RT @lovema...                                    [playful, cold]                             Neutral
       107                                      RT @nfloyd...                                             [cold]                            Negative
       109                                      @loveusapn...                                             [cold]                            Negative
       110                                      RT @RussW0...                                  [beautiful, cold]                             Neutral
       111                                      RT @tiwoon...                                             [cold]                            Negative
       112                                      RT @Jennif...                                             [cold]                            Negative
       114                                      RT @jeeeli...                                             [cold]                            Negative
       119                                      RT @Immort...                                    [bastard, cold]                            Negative
       120                                      RT @Sohrab...                                            [trust]                            Positive
       123                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       125                                      @alpha_def...                                              [lag]                            Negative
       126                                      RT @Blacke...                                             [cold]                            Negative
       127                                      @chamomeri...                                    [burning, cold]                            Negative
       128                                      RT @jeeeli...                                             [cold]                            Negative
       129                                      Its extrem...                                             [cold]                            Negative
       131                                      Its cold t...                                       [cold, bust]                            Negative
       133                                      RT @NickAd...                                   [freezing, cold]                            Negative
       134                                      @VCUAthlet...                                             [cold]                            Negative
       135                                      RT @BTStra...                                 [pleasantly, cold]                             Neutral
       136                                      baby im th...                                  [hot, shit, cold]                            Negative
       137                                      ahhh i sho...                                             [cold]                            Negative
       139                                      RT @janine...                                             [cold]                            Negative
       140                                      RT @JoeyDe...                      [cute, miserably, cold, love]                             Neutral
       141                                      RT @loverg...                                       [cold, well]                             Neutral
       143                                      RT @supeRE...                                             [cold]                            Negative
       146                                      RT @Gorill...                                   [freezing, cold]                            Negative
       147                                      RT @jeeeli...                                             [cold]                            Negative
       151                                      just got u...                                             [cold]                            Negative
       152                                      RT @Iisari...                                [skill, like, hate]                            Positive
       153                                      RT @loverg...                                       [cold, well]                             Neutral
       154                                      RT @jeeeli...                                             [cold]                            Negative
       157                                      My mama on...                                      [stuck, cold]                            Negative
       158                                      RT @btsqts...                                             [love]                            Positive
       159                                      RT @LALewm...                                  [disloyal, loyal]                             Neutral
       160                                      My cold tr...                                             [cold]                            Negative
       162                                      the street...                                             [cold]                            Negative
       163                                      what an aw...                                             [cold]                            Negative
       164                                      Now, it wa...                                  [cold, infection]                            Negative
       167                                      My brother...                          [cold, like, break, fast]                             Neutral
       168                                      "Saturday ...                                       [cold, joke]                            Negative
       170                                      RT @btsqts...                                             [love]                            Positive
       171                                      RT @stussy...                                             [cold]                            Negative
       172                                      RT @linger...                                              [hot]                            Positive
       176                                      RT @miiniy...                                      [thank, cold]                             Neutral
       178                                      RT @miiniy...                                      [thank, cold]                             Neutral
       179                                      RT @zeeraa...                                             [cold]                            Negative
       180                                      RT @jSeolh...                                             [cold]                            Negative
       184                                      RT @janine...                                             [cold]                            Negative
       186                                      RT @jeeeli...                                             [cold]                            Negative
       187                                      RT @jSeolh...                                             [cold]                            Negative
       189                                      RT @AnonOp...                           [catastrophe, suffering]                            Negative
       190                                      I had a do...                                             [cold]                            Negative
       193                                      I just wan...                                             [cold]                            Negative
       194                                      RT @Thakur...                                   [cold, darkness]                            Negative
       196                                      RT @jeeeli...                                             [cold]                            Negative
       199                                      RT @linger...                                              [hot]                            Positive
       200                                      Another be...                          [beautiful, cold, strong]                            Positive
       201                                      RT @Odogwu...                                      [best, angry]                             Neutral
       202                                      Im not dat...                                     [skinny, cold]                            Negative
       203                                      RT @loverg...                                       [cold, well]                             Neutral
       205                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       206                                      @michele_o...                                       [warm, cold]                             Neutral
       207                                      RT @lovema...                                    [playful, cold]                             Neutral
       208                                      RT @nfloyd...                                             [cold]                            Negative
       210                                      @loveusapn...                                             [cold]                            Negative
       211                                      RT @RussW0...                                  [beautiful, cold]                             Neutral
       212                                      RT @tiwoon...                                             [cold]                            Negative
       213                                      RT @Jennif...                                             [cold]                            Negative
       215                                      RT @jeeeli...                                             [cold]                            Negative
       220                                      RT @Immort...                                    [bastard, cold]                            Negative
       221                                      RT @Sohrab...                                            [trust]                            Positive
       224                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       226                                      @alpha_def...                                              [lag]                            Negative
       227                                      RT @Blacke...                                             [cold]                            Negative
       228                                      @chamomeri...                                    [burning, cold]                            Negative
       229                                      RT @jeeeli...                                             [cold]                            Negative
       230                                      Its extrem...                                             [cold]                            Negative
       232                                      Its cold t...                                       [cold, bust]                            Negative
       234                                      RT @NickAd...                                   [freezing, cold]                            Negative
       235                                      @VCUAthlet...                                             [cold]                            Negative
       236                                      RT @BTStra...                                 [pleasantly, cold]                             Neutral
       237                                      baby im th...                                  [hot, shit, cold]                            Negative
       238                                      ahhh i sho...                                             [cold]                            Negative
       240                                      RT @janine...                                             [cold]                            Negative
       241                                      RT @JoeyDe...                      [cute, miserably, cold, love]                             Neutral
       242                                      RT @loverg...                                       [cold, well]                             Neutral
       244                                      RT @supeRE...                                             [cold]                            Negative
       247                                      RT @Gorill...                                   [freezing, cold]                            Negative
       248                                      RT @jeeeli...                                             [cold]                            Negative
       252                                      just got u...                                             [cold]                            Negative
       253                                      RT @Iisari...                                [skill, like, hate]                            Positive
       254                                      RT @loverg...                                       [cold, well]                             Neutral
       255                                      RT @jeeeli...                                             [cold]                            Negative
       258                                      My mama on...                                      [stuck, cold]                            Negative
       259                                      RT @btsqts...                                             [love]                            Positive
       260                                      RT @LALewm...                                  [disloyal, loyal]                             Neutral
       261                                      My cold tr...                                             [cold]                            Negative
       263                                      the street...                                             [cold]                            Negative
       264                                      what an aw...                                             [cold]                            Negative
       265                                      Now, it wa...                                  [cold, infection]                            Negative
       268                                      My brother...                          [cold, like, break, fast]                             Neutral
       269                                      "Saturday ...                                       [cold, joke]                            Negative
       271                                      RT @btsqts...                                             [love]                            Positive
       272                                      RT @stussy...                                             [cold]                            Negative
       273                                      RT @linger...                                              [hot]                            Positive
       277                                      RT @miiniy...                                      [thank, cold]                             Neutral
       279                                      RT @miiniy...                                      [thank, cold]                             Neutral
       280                                      RT @zeeraa...                                             [cold]                            Negative
       281                                      RT @jSeolh...                                             [cold]                            Negative
       285                                      RT @janine...                                             [cold]                            Negative
       287                                      RT @jeeeli...                                             [cold]                            Negative
       288                                      RT @jSeolh...                                             [cold]                            Negative
       290                                      RT @AnonOp...                           [catastrophe, suffering]                            Negative
       291                                      I had a do...                                             [cold]                            Negative
       294                                      I just wan...                                             [cold]                            Negative
       295                                      RT @Thakur...                                   [cold, darkness]                            Negative
       297                                      RT @jeeeli...                                             [cold]                            Negative
       300                                      RT @linger...                                              [hot]                            Positive
       301                                      RT @ilenag...                                            [bloom]                            Positive
       303                                      RT @supeRE...                                             [cold]                            Negative
       304                                      RT @Odogwu...                                      [best, angry]                             Neutral
       305                                      Im not dat...                                     [skinny, cold]                            Negative
       306                                      RT @loverg...                                       [cold, well]                             Neutral
       308                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       309                                      @michele_o...                                       [warm, cold]                             Neutral
       310                                      RT @lovema...                                    [playful, cold]                             Neutral
       311                                      RT @nfloyd...                                             [cold]                            Negative
       313                                      @loveusapn...                                             [cold]                            Negative
       314                                      RT @RussW0...                                  [beautiful, cold]                             Neutral
       315                                      RT @tiwoon...                                             [cold]                            Negative
       316                                      RT @Jennif...                                             [cold]                            Negative
       318                                      RT @jeeeli...                                             [cold]                            Negative
       323                                      RT @Immort...                                    [bastard, cold]                            Negative
       324                                      RT @Sohrab...                                            [trust]                            Positive
       327                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       329                                      @alpha_def...                                              [lag]                            Negative
       330                                      RT @Blacke...                                             [cold]                            Negative
       331                                      @chamomeri...                                    [burning, cold]                            Negative
       332                                      RT @jeeeli...                                             [cold]                            Negative
       333                                      Its extrem...                                             [cold]                            Negative
       335                                      Its cold t...                                       [cold, bust]                            Negative
       337                                      RT @NickAd...                                   [freezing, cold]                            Negative
       338                                      @VCUAthlet...                                             [cold]                            Negative
       339                                      RT @BTStra...                                 [pleasantly, cold]                             Neutral
       340                                      baby im th...                                  [hot, shit, cold]                            Negative
       341                                      ahhh i sho...                                             [cold]                            Negative
       343                                      RT @janine...                                             [cold]                            Negative
       344                                      RT @JoeyDe...                      [cute, miserably, cold, love]                             Neutral
       345                                      RT @loverg...                                       [cold, well]                             Neutral
       347                                      RT @supeRE...                                             [cold]                            Negative
       350                                      RT @Gorill...                                   [freezing, cold]                            Negative
       351                                      RT @jeeeli...                                             [cold]                            Negative
       355                                      just got u...                                             [cold]                            Negative
       356                                      RT @Iisari...                                [skill, like, hate]                            Positive
       357                                      RT @loverg...                                       [cold, well]                             Neutral
       358                                      RT @jeeeli...                                             [cold]                            Negative
       361                                      My mama on...                                      [stuck, cold]                            Negative
       362                                      RT @btsqts...                                             [love]                            Positive
       363                                      RT @LALewm...                                  [disloyal, loyal]                             Neutral
       364                                      My cold tr...                                             [cold]                            Negative
       366                                      the street...                                             [cold]                            Negative
       367                                      what an aw...                                             [cold]                            Negative
       368                                      Now, it wa...                                  [cold, infection]                            Negative
       371                                      My brother...                          [cold, like, break, fast]                             Neutral
       372                                      "Saturday ...                                       [cold, joke]                            Negative
       374                                      RT @btsqts...                                             [love]                            Positive
       375                                      RT @stussy...                                             [cold]                            Negative
       376                                      RT @linger...                                              [hot]                            Positive
       380                                      RT @miiniy...                                      [thank, cold]                             Neutral
       382                                      RT @miiniy...                                      [thank, cold]                             Neutral
       383                                      RT @zeeraa...                                             [cold]                            Negative
       384                                      RT @jSeolh...                                             [cold]                            Negative
       388                                      RT @janine...                                             [cold]                            Negative
       390                                      RT @jeeeli...                                             [cold]                            Negative
       391                                      RT @jSeolh...                                             [cold]                            Negative
       393                                      RT @AnonOp...                           [catastrophe, suffering]                            Negative
       394                                      I had a do...                                             [cold]                            Negative
       397                                      I just wan...                                             [cold]                            Negative
       398                                      RT @Thakur...                                   [cold, darkness]                            Negative
       400                                      RT @jeeeli...                                             [cold]                            Negative
       402                                      @Whataburg...                                            [wrong]                            Negative
       403                                      RT @SteveD...                                  [patient, modern]                            Positive
       404                                      RT @nicole...                                      [fascinating]                            Positive
       405                                      RT @btstra...                                             [cold]                            Negative
       407                                      RT @hughos...                                       [dies, cold]                            Negative
       408                                      hes actual...                                             [cold]                            Negative
       409                                      RT @smokei...                                 [free, best, cold]                            Positive
       410                                      RT @smokei...                                 [free, best, cold]                            Positive
       411                                      RT @smokei...                                 [free, best, cold]                            Positive
       412                                      RT @joonst...                                             [cold]                            Negative
       413                                      its just m...                                        [hot, cold]                             Neutral
       416                                      RT @markru...                                             [cold]                            Negative
       417                                      @pr3tty_b0...                                            [enjoy]                            Positive
       419                                      You insult...              [insulted, cold, suspicious, refused]                            Negative
       420                                      @JensOdlan...                   [issue, failed, cold, conflicts]                            Negative
       421                                      bu şaekı b...                                             [cold]                            Negative
       423                                      Yall gonna...                                  [hate, like, hot]                            Positive
       424                                      RT @chilum...                                      [cold, wrong]                            Negative
       425                                      RT @AHandy...                                       [cold, hate]                            Negative
       426                                      Design tea...                                      [great, cold]                             Neutral
       427                                      @cloudmedl...                  [like, cold, uncertain, exciting]                             Neutral
       428                                      #newbright...                                       [cold, like]                             Neutral
       429                                      @TrollFoot...                                             [cold]                            Negative
       432                                      it's cold ...                                             [cold]                            Negative
       435                                      RT @cinis1...                     [panic, better, shaky, attack]                            Negative
       436                                      RT @richim...                                       [cold, kill]                            Negative
       437                                      The hot wa...                      [hot, cold, impossible, work]                            Positive
       439                                      @Cold_Peac...                                            [wrong]                            Negative
       440                                      Fully cran...                                        [hot, cold]                            Positive
       442                                      Its really...                                             [cold]                            Negative
       443                                      RT @k_illu...                                             [shit]                            Negative
       445                                      RT @loverg...                                       [cold, well]                             Neutral
       446                                      I'd wait i...                                             [cold]                            Negative
       447                                      @Peter_Nim...                                             [cold]                            Negative
       448                                      RT @Sofylo...                                             [warm]                            Positive
       449                                      @RubinRepo...                                       [sick, cold]                            Negative
       450                                      RT @btstra...                                             [cold]                            Negative
       452                                      @CrosbyMax...                                             [cold]                            Negative
       453                                      RT @OG_Bas...                                        [win, cold]                             Neutral
       454                                      RT @btstra...                                             [cold]                            Negative
       455                                      So Covid i...                                             [cold]                            Negative
       456                                      RT @btstra...                                             [cold]                            Negative
       457                                      RT @loverg...                                       [cold, well]                             Neutral
       459                                      tamaki got...                                       [good, warm]                            Positive
       460                                      RT @DrKate...                                         [confused]                            Negative
       463                                      @md_1010xl...                                       [cold, like]                             Neutral
       464                                      @MyNameIsB...                                       [cold, dead]                            Negative
       466                                      she gig on...                                             [work]                            Positive
       467                                      Its not go...                      [good, reactionary, alarming]                            Negative
       468                                      after the ...                                             [cold]                            Negative
       469                                      Baby, I'm ...                                             [cold]                            Negative
       470                                      @TheWorldO...                                             [best]                            Positive
       472                                      Ice cold  ...                                             [cold]                            Negative
       477                                      RT @viewsf...                                   [joyful, murder]                             Neutral
       478                                      RT @btstra...                                             [cold]                            Negative
       479                                      RT @btstra...                                             [cold]                            Negative
